t,vout
0.0,1.89792e-05
1e-11,1.89792e-05
2e-11,1.89792e-05
3e-11,1.89792e-05
4e-11,1.89792e-05
5e-11,1.89792e-05
6e-11,1.89792e-05
7e-11,1.89792e-05
8e-11,1.89792e-05
9e-11,1.89792e-05
1e-10,1.89792e-05
1.1e-10,1.89792e-05
1.2e-10,1.89792e-05
1.3e-10,1.89792e-05
1.4e-10,1.89792e-05
1.5e-10,1.89792e-05
1.6e-10,1.89792e-05
1.7e-10,1.89792e-05
1.8e-10,1.89792e-05
1.9e-10,1.89792e-05
2e-10,1.89792e-05
2.1e-10,1.89792e-05
2.2e-10,1.89792e-05
2.3e-10,1.89792e-05
2.4e-10,1.89792e-05
2.5e-10,1.89792e-05
2.6e-10,1.89792e-05
2.7e-10,1.89792e-05
2.8e-10,1.89792e-05
2.9e-10,1.89792e-05
3e-10,1.89792e-05
3.1e-10,1.89792e-05
3.2e-10,1.89792e-05
3.3e-10,1.89792e-05
3.4e-10,1.89792e-05
3.5e-10,1.89792e-05
3.6e-10,1.89792e-05
3.7e-10,1.89792e-05
3.8e-10,1.89792e-05
3.9e-10,1.89792e-05
4e-10,1.89792e-05
4.1e-10,1.89792e-05
4.2e-10,1.89792e-05
4.3e-10,1.89792e-05
4.4e-10,1.89792e-05
4.5e-10,1.89792e-05
4.6e-10,1.89792e-05
4.7e-10,1.89792e-05
4.8e-10,1.89792e-05
4.9e-10,1.89792e-05
5e-10,1.89792e-05
5.1e-10,1.89792e-05
5.2e-10,1.89792e-05
5.3e-10,1.89792e-05
5.4e-10,1.89792e-05
5.5e-10,1.89792e-05
5.6e-10,1.89792e-05
5.7e-10,1.89792e-05
5.8e-10,1.89792e-05
5.9e-10,1.89792e-05
6e-10,1.89792e-05
6.1e-10,1.89792e-05
6.2e-10,1.89792e-05
6.3e-10,1.89792e-05
6.4e-10,1.89792e-05
6.5e-10,1.89792e-05
6.6e-10,1.89792e-05
6.7e-10,1.89792e-05
6.8e-10,1.89792e-05
6.9e-10,1.89792e-05
7e-10,1.89792e-05
7.1e-10,1.89792e-05
7.2e-10,1.89792e-05
7.3e-10,1.89792e-05
7.4e-10,1.89792e-05
7.5e-10,1.89792e-05
7.6e-10,1.89792e-05
7.7e-10,1.89792e-05
7.8e-10,1.89792e-05
7.9e-10,1.89792e-05
8e-10,1.89792e-05
8.1e-10,1.89792e-05
8.2e-10,1.89792e-05
8.3e-10,1.89792e-05
8.4e-10,1.89792e-05
8.5e-10,1.89792e-05
8.6e-10,1.89792e-05
8.7e-10,1.89792e-05
